Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Sep 14, 2018","1,177.98","1,188.00","1,188.00","1,173.52",1.21M
"Sep 13, 2018","1,182.14","1,179.70","1,187.86","1,169.22",2.00M
"Sep 12, 2018","1,171.60","1,182.00","1,190.69","1,166.16",1.79M
"Sep 11, 2018","1,189.99","1,171.10","1,190.94","1,165.95",1.46M
"Sep 10, 2018","1,175.06","1,184.20","1,186.66","1,170.61",1.38M
"Sep 07, 2018","1,177.59","1,172.00","1,188.55","1,169.27",1.63M
"Sep 06, 2018","1,183.99","1,198.57","1,198.99","1,163.61",2.34M
"Sep 05, 2018","1,199.10","1,209.22","1,214.87","1,175.34",2.70M
"Sep 04, 2018","1,211.31","1,222.52","1,227.87","1,206.56",2.07M
"Aug 31, 2018","1,231.80","1,252.21","1,252.55","1,225.75",2.12M
"Aug 30, 2018","1,254.44","1,263.40","1,269.49","1,247.21",1.51M
"Aug 29, 2018","1,264.65","1,255.00","1,267.17","1,252.80",1.85M
"Aug 28, 2018","1,245.86","1,255.90","1,256.56","1,242.97",1.37M
"Aug 27, 2018","1,256.27","1,244.14","1,257.87","1,240.68",1.43M
"Aug 24, 2018","1,236.75","1,226.00","1,237.40","1,221.42",1.22M
"Aug 23, 2018","1,221.16","1,219.88","1,235.17","1,219.35",1.23M
"Aug 22, 2018","1,221.75","1,214.22","1,226.53","1,213.22",1.11M
"Aug 21, 2018","1,217.41","1,223.02","1,232.76","1,215.03",1.15M
"Aug 20, 2018","1,221.95","1,220.66","1,225.91","1,208.70",1.11M
"Aug 17, 2018","1,215.85","1,222.04","1,226.95","1,204.00",1.65M
"Aug 16, 2018","1,224.06","1,241.99","1,243.70","1,219.63",1.61M
"Aug 15, 2018","1,232.22","1,244.28","1,251.98","1,226.24",1.85M
"Aug 14, 2018","1,258.14","1,252.50","1,260.59","1,239.54",1.40M
"Aug 13, 2018","1,248.64","1,251.20","1,265.97","1,247.03",1.38M
"Aug 10, 2018","1,252.51","1,259.18","1,261.20","1,247.16",1.33M
"Aug 09, 2018","1,264.46","1,262.73","1,271.96","1,260.10",1.37M
"Aug 08, 2018","1,261.33","1,256.72","1,271.72","1,252.12",1.72M
"Aug 07, 2018","1,255.84","1,252.01","1,266.08","1,251.80",2.13M
"Aug 06, 2018","1,237.67","1,241.61","1,242.46","1,230.53",1.11M
"Aug 03, 2018","1,238.16","1,245.18","1,246.52","1,229.42",1.06M
"Aug 02, 2018","1,241.13","1,218.50","1,244.41","1,218.06",1.74M
"Aug 01, 2018","1,232.99","1,239.11","1,245.90","1,224.94",1.85M
"Jul 31, 2018","1,227.22","1,231.71","1,241.21","1,216.19",1.97M
"Jul 30, 2018","1,230.04","1,245.05","1,252.89","1,224.17",2.19M
"Jul 27, 2018","1,252.89","1,289.12","1,291.44","1,244.49",2.42M
"Jul 26, 2018","1,285.50","1,267.18","1,287.40","1,263.00",2.73M
"Jul 25, 2018","1,275.94","1,252.62","1,278.24","1,249.05",2.58M
"Jul 24, 2018","1,258.15","1,271.00","1,275.00","1,244.14",5.38M
"Jul 23, 2018","1,211.00","1,195.66","1,215.10","1,192.01",3.27M
"Jul 20, 2018","1,197.88","1,199.24","1,210.77","1,196.59",1.90M
"Jul 19, 2018","1,199.10","1,206.65","1,216.48","1,197.73",1.92M
"Jul 18, 2018","1,212.91","1,208.53","1,221.59","1,204.56",1.95M
"Jul 17, 2018","1,213.08","1,182.74","1,218.76","1,182.00",2.01M
"Jul 16, 2018","1,196.51","1,203.81","1,208.71","1,193.40",1.34M
"Jul 13, 2018","1,204.42","1,202.80","1,210.44","1,195.29",1.63M
"Jul 12, 2018","1,201.26","1,174.86","1,201.99","1,173.10",2.21M
"Jul 11, 2018","1,171.46","1,155.62","1,180.44","1,155.37",1.66M
"Jul 10, 2018","1,167.14","1,169.99","1,173.50","1,162.56",1.07M
"Jul 09, 2018","1,167.28","1,160.00","1,167.93","1,157.23",1.08M
"Jul 06, 2018","1,155.08","1,141.77","1,156.20","1,137.24",1.09M
"Jul 05, 2018","1,141.29","1,124.60","1,144.14","1,123.12",1.43M
"Jul 03, 2018","1,116.28","1,149.42","1,149.91","1,114.43",822.39K
"Jul 02, 2018","1,142.11","1,115.35","1,142.99","1,106.60",1.16M
"Jun 29, 2018","1,129.19","1,132.31","1,141.36","1,127.02",1.58M
"Jun 28, 2018","1,126.78","1,112.39","1,134.00","1,106.07",1.49M
"Jun 27, 2018","1,116.94","1,136.00","1,146.21","1,116.70",1.73M
"Jun 26, 2018","1,132.62","1,144.14","1,146.87","1,129.00",1.73M
"Jun 25, 2018","1,139.28","1,155.00","1,155.99","1,119.90",2.88M
"Jun 22, 2018","1,169.29","1,171.49","1,175.00","1,159.65",1.71M
"Jun 21, 2018","1,169.44","1,185.51","1,190.33","1,163.48",2.25M
"Jun 20, 2018","1,184.07","1,183.30","1,201.49","1,182.03",2.58M
"Jun 19, 2018","1,178.69","1,170.11","1,182.81","1,161.61",2.36M
"Jun 18, 2018","1,183.58","1,152.69","1,184.13","1,151.00",1.65M
"Jun 15, 2018","1,159.27","1,159.92","1,163.91","1,153.69",2.22M
"Jun 14, 2018","1,160.11","1,152.21","1,165.99","1,150.60",1.77M
"Jun 13, 2018","1,144.23","1,152.28","1,155.64","1,143.38",1.72M
"Jun 12, 2018","1,148.19","1,141.02","1,148.75","1,141.02",1.30M
"Jun 11, 2018","1,140.90","1,132.94","1,147.74","1,131.40",1.24M
"Jun 08, 2018","1,132.71","1,131.21","1,138.78","1,123.23",1.36M
"Jun 07, 2018","1,134.42","1,144.58","1,145.87","1,126.12",1.81M
"Jun 06, 2018","1,146.95","1,152.77","1,154.71","1,136.32",1.75M
"Jun 05, 2018","1,151.02","1,154.66","1,161.10","1,147.46",1.65M
"Jun 04, 2018","1,153.04","1,138.50","1,157.86","1,137.00",2.24M
"Jun 01, 2018","1,135.00","1,112.87","1,138.16","1,112.01",3.16M
"May 31, 2018","1,100.00","1,082.00","1,110.00","1,078.00",3.97M
"May 30, 2018","1,077.47","1,073.48","1,078.99","1,066.55",1.43M
"May 29, 2018","1,068.07","1,076.00","1,081.34","1,063.08",1.80M
"May 25, 2018","1,084.08","1,086.55","1,089.57","1,082.60",1.11M
"May 24, 2018","1,085.45","1,086.90","1,087.12","1,072.30",1.03M
"May 23, 2018","1,085.96","1,070.00","1,088.00","1,066.96",1.19M
"May 22, 2018","1,075.31","1,089.80","1,091.80","1,072.26",1.11M
"May 21, 2018","1,084.01","1,079.00","1,093.30","1,078.00",1.26M
"May 18, 2018","1,069.64","1,066.00","1,073.73","1,064.68",1.77M
"May 17, 2018","1,081.26","1,081.46","1,091.00","1,076.42",1.29M
"May 16, 2018","1,084.09","1,085.09","1,094.38","1,081.63",1.28M
"May 15, 2018","1,084.87","1,096.90","1,099.12","1,078.78",1.79M
"May 14, 2018","1,106.60","1,105.57","1,118.15","1,104.80",1.97M
"May 11, 2018","1,103.38","1,100.41","1,109.01","1,097.22",1.53M
"May 10, 2018","1,105.47","1,095.00","1,109.41","1,093.88",1.82M
"May 09, 2018","1,088.95","1,064.10","1,094.00","1,062.11",2.36M
"May 08, 2018","1,058.59","1,064.62","1,065.23","1,051.64",1.30M
"May 07, 2018","1,059.46","1,053.89","1,065.00","1,050.27",1.72M
"May 04, 2018","1,051.00","1,019.61","1,051.88","1,018.05",1.84M
"May 03, 2018","1,026.30","1,025.37","1,030.69","1,007.89",1.96M
